index,StationName,YearMonth,AirTemperature_Mean,AirTemperature_Maximum,AirTemperature_MaximumDate,AirTemperature_Minimum,AirTemperature_MinimumDate,Precipitation_Accumulation,Precipitation_GE01Days,WindSpeed_Maximum,WindSpeed_MaximumDate,WindDirection_Maximum,PeakGustSpeed_Maximum,PeakGustSpeed_MaximumDate,PeakGustDirection_Maximum,RelativeHumidity_Mean,RelativeHumidity_Minimum,RelativeHumidity_MinimumDate,AirPressure_Mean,SunshineDuration_Total,Month
84,臺南,2022-01,18.5,26.7,2022-01-27,11.1,2022-01-14,40.5,5,9.4,2022-01-30,10.0,18.2,2022-01-30,10.0,79,33,2022-01-01,1014.7,173.1,1
85,臺南,2022-02,17.4,28.3,2022-02-28,10.2,2022-02-20,51.0,7,9.4,2022-02-20,10.0,17.9,2022-02-14,10.0,84,39,2022-02-27,1015.0,131.8,2
86,臺南,2022-03,23.0,31.9,2022-03-25,11.5,2022-03-08,27.0,6,10.7,2022-03-07,10.0,18.6,2022-03-07,360.0,76,36,2022-03-13,1011.0,205.9,3
87,臺南,2022-04,24.6,32.6,2022-04-29,13.7,2022-04-04,6.0,2,8.5,2022-04-25,210.0,15.2,2022-04-25,210.0,74,36,2022-04-10,1010.5,231.7,4
88,臺南,2022-05,25.8,33.0,2022-05-28,16.6,2022-05-02,223.0,11,7.9,2022-05-24,190.0,14.0,2022-05-02,40.0,82,54,2022-05-10,1007.2,128.3,5
89,臺南,2022-06,29.2,33.8,2022-06-28,23.9,2022-06-12,154.0,12,9.6,2022-06-08,200.0,19.4,2022-06-08,200.0,75,43,2022-06-16,1005.6,225.4,6
90,臺南,2022-07,29.9,34.1,2022-07-31,25.3,2022-07-16,165.0,11,10.1,2022-07-20,200.0,15.8,2022-07-20,200.0,75,53,2022-07-06,1004.8,224.2,7
91,臺南,2022-08,29.4,34.9,2022-08-10,24.6,2022-08-02,297.5,14,9.1,2022-08-19,190.0,14.7,2022-08-04,190.0,76,49,2022-08-10,1005.5,213.6,8
92,臺南,2022-09,28.7,33.8,2022-09-15,24.8,2022-09-21,25.5,7,10.9,2022-09-03,350.0,19.4,2022-09-01,10.0,73,41,2022-09-15,1004.4,191.7,9
93,臺南,2022-10,26.5,34.0,2022-10-02,20.5,2022-10-19,3.5,2,8.9,2022-10-31,10.0,15.7,2022-10-31,360.0,72,48,2022-10-12,1009.4,197.5,10
94,臺南,2022-11,25.1,31.7,2022-11-28,20.1,2022-11-30,1.0,1,7.3,2022-11-26,10.0,14.1,2022-11-26,10.0,81,52,2022-11-12,1011.4,186.3,11
95,臺南,2022-12,18.6,28.2,2022-12-03,10.2,2022-12-25,7.0,1,11.2,2022-12-17,10.0,19.7,2022-12-17,360.0,71,22,2022-12-22,1014.4,215.0,12
