index,StationName,YearMonth,AirTemperature_Mean,AirTemperature_Maximum,AirTemperature_MaximumDate,AirTemperature_Minimum,AirTemperature_MinimumDate,Precipitation_Accumulation,Precipitation_GE01Days,WindSpeed_Maximum,WindSpeed_MaximumDate,WindDirection_Maximum,PeakGustSpeed_Maximum,PeakGustSpeed_MaximumDate,PeakGustDirection_Maximum,RelativeHumidity_Mean,RelativeHumidity_Minimum,RelativeHumidity_MinimumDate,AirPressure_Mean,SunshineDuration_Total,Month
96,臺南,2023-01,18.0,28.5,2023-01-14,9.1,2023-01-28,0.5,1,11.9,2023-01-24,10.0,21.9,2023-01-24,360.0,76,34,2023-01-31,1016.0,209.8,1
97,臺南,2023-02,18.9,30.1,2023-02-13,12.5,2023-02-15,0.0,0,7.9,2023-02-14,10.0,14.6,2023-02-15,350.0,75,34,2023-02-01,1015.3,195.7,2
98,臺南,2023-03,21.6,30.3,2023-03-24,13.6,2023-03-03,0.0,0,7.9,2023-03-02,10.0,13.8,2023-03-25,30.0,70,25,2023-03-09,1013.8,274.6,3
99,臺南,2023-04,25.3,33.4,2023-04-18,18.2,2023-04-08,1.0,2,8.4,2023-04-18,190.0,13.5,2023-04-18,210.0,73,44,2023-04-11,1009.3,221.7,4
100,臺南,2023-05,27.4,33.6,2023-05-30,20.7,2023-05-09,28.5,8,9.1,2023-05-05,200.0,13.4,2023-05-05,200.0,74,47,2023-05-04,1007.1,190.7,5
101,臺南,2023-06,29.4,34.3,2023-06-29,24.5,2023-06-26,179.5,11,10.1,2023-06-01,10.0,17.1,2023-06-01,20.0,77,51,2023-06-28,1005.1,208.6,6
102,臺南,2023-07,29.8,35.2,2023-07-15,23.5,2023-07-28,264.0,14,13.6,2023-07-28,150.0,27.3,2023-07-28,140.0,76,45,2023-07-15,1004.5,221.6,7
103,臺南,2023-08,29.0,34.3,2023-08-29,24.4,2023-08-10,410.0,15,9.0,2023-08-02,330.0,16.5,2023-08-04,250.0,81,51,2023-08-28,1002.4,151.0,8
104,臺南,2023-09,28.7,33.7,2023-09-18,23.9,2023-09-10,394.0,11,12.5,2023-09-04,170.0,21.8,2023-09-04,120.0,79,49,2023-09-18,1005.4,177.3,9
105,臺南,2023-10,27.1,33.7,2023-10-01,22.8,2023-10-31,17.0,2,14.0,2023-10-05,10.0,29.9,2023-10-05,30.0,74,41,2023-10-20,1010.1,186.0,10
106,臺南,2023-11,24.1,33.9,2023-11-10,15.1,2023-11-18,0.0,0,9.4,2023-11-17,10.0,16.2,2023-11-17,360.0,68,33,2023-11-18,1014.6,246.2,11
107,臺南,2023-12,20.7,30.3,2023-12-10,10.9,2023-12-22,15.0,3,8.1,2023-12-24,360.0,15.6,2023-12-16,50.0,73,40,2023-12-09,1016.3,153.9,12
