index,StationName,YearMonth,AirTemperature_Mean,AirTemperature_Maximum,AirTemperature_MaximumDate,AirTemperature_Minimum,AirTemperature_MinimumDate,Precipitation_Accumulation,Precipitation_GE01Days,WindSpeed_Maximum,WindSpeed_MaximumDate,WindDirection_Maximum,PeakGustSpeed_Maximum,PeakGustSpeed_MaximumDate,PeakGustDirection_Maximum,RelativeHumidity_Mean,RelativeHumidity_Minimum,RelativeHumidity_MinimumDate,AirPressure_Mean,SunshineDuration_Total,Month
48,臺南,2019-01,19.7,28.9,2019-01-05,11.9,2019-01-23,0.0,0,8.3,2019-01-22,340.0,13.3,2019-01-17,340.0,77,39,2019-01-29,1017.1,176.4,1
49,臺南,2019-02,22.0,31.0,2019-02-07,15.7,2019-02-01,1.5,2,7.7,2019-02-23,350.0,12.9,2019-02-23,330.0,76,36,2019-02-07,1015.3,211.3,2
50,臺南,2019-03,22.5,30.7,2019-03-19,13.8,2019-03-08,74.5,11,8.1,2019-03-15,340.0,14.4,2019-03-15,340.0,77,52,2019-03-16,1012.5,188.8,3
51,臺南,2019-04,26.0,32.9,2019-04-20,18.7,2019-04-02,88.0,3,8.2,2019-04-03,340.0,18.3,2019-04-19,250.0,73,48,2019-04-20,1009.7,206.6,4
52,臺南,2019-05,26.9,33.9,2019-05-14,20.2,2019-05-08,168.0,12,8.3,2019-05-20,340.0,21.2,2019-05-20,320.0,75,53,2019-05-14,1007.1,134.4,5
53,臺南,2019-06,29.3,34.6,2019-06-18,24.5,2019-06-10,273.5,14,8.0,2019-06-30,170.0,16.5,2019-06-10,220.0,74,50,2019-06-03,1004.6,183.5,6
54,臺南,2019-07,29.2,35.4,2019-07-17,24.5,2019-07-04,573.0,20,8.0,2019-07-10,170.0,14.6,2019-07-02,140.0,76,52,2019-07-29,1003.8,174.2,7
55,臺南,2019-08,28.7,34.6,2019-08-04,23.8,2019-08-13,758.0,22,12.3,2019-08-02,180.0,25.2,2019-08-24,130.0,79,56,2019-08-05,1001.0,122.0,8
56,臺南,2019-09,28.4,33.9,2019-09-01,23.3,2019-09-24,180.0,8,10.4,2019-09-20,340.0,18.6,2019-09-21,350.0,71,47,2019-09-23,1005.6,202.6,9
57,臺南,2019-10,27.1,33.0,2019-10-03,21.5,2019-10-20,0.0,0,8.0,2019-10-01,330.0,14.6,2019-10-01,340.0,69,50,2019-10-21,1011.0,173.5,10
58,臺南,2019-11,23.5,31.6,2019-11-03,16.8,2019-11-29,0.0,0,7.3,2019-11-19,330.0,11.7,2019-11-19,330.0,71,47,2019-11-13,1012.3,229.2,11
59,臺南,2019-12,19.8,28.9,2019-12-17,13.0,2019-12-08,60.7,7,9.2,2019-12-07,340.0,15.6,2019-12-05,340.0,76,44,2019-12-13,1015.7,182.5,12
