index,StationName,YearMonth,AirTemperature_Mean,AirTemperature_Maximum,AirTemperature_MaximumDate,AirTemperature_Minimum,AirTemperature_MinimumDate,Precipitation_Accumulation,Precipitation_GE01Days,WindSpeed_Maximum,WindSpeed_MaximumDate,WindDirection_Maximum,PeakGustSpeed_Maximum,PeakGustSpeed_MaximumDate,PeakGustDirection_Maximum,RelativeHumidity_Mean,RelativeHumidity_Minimum,RelativeHumidity_MinimumDate,AirPressure_Mean,SunshineDuration_Total,Month
72,臺南,2021-01,16.5,27.3,2021-01-21,8.4,2021-01-10,2.5,1,9.5,2021-01-12,10.0,17.9,2021-01-12,10.0,73,34,2021-01-14,1015.9,202.0,1
73,臺南,2021-02,19.7,27.5,2021-02-26,13.8,2021-02-18,13.5,1,8.2,2021-02-11,340.0,14.9,2021-02-11,10.0,74,17,2021-02-01,1013.8,224.3,2
74,臺南,2021-03,22.4,30.7,2021-03-17,14.7,2021-03-22,5.0,1,8.7,2021-03-21,360.0,15.3,2021-03-21,10.0,74,41,2021-03-25,1012.6,248.0,3
75,臺南,2021-04,24.6,31.3,2021-04-17,17.8,2021-04-10,20.0,4,8.3,2021-04-08,360.0,14.6,2021-04-08,350.0,73,44,2021-04-05,1010.4,222.3,4
76,臺南,2021-05,29.0,34.1,2021-05-15,22.0,2021-05-06,79.5,3,8.7,2021-05-04,170.0,14.4,2021-05-04,170.0,74,45,2021-05-01,1007.7,288.9,5
77,臺南,2021-06,28.3,33.6,2021-06-04,24.1,2021-06-06,793.0,21,8.0,2021-06-07,190.0,14.1,2021-06-07,190.0,82,54,2021-06-09,1004.8,151.7,6
78,臺南,2021-07,29.1,34.0,2021-07-05,24.2,2021-07-31,458.0,15,10.6,2021-07-23,330.0,19.1,2021-07-23,320.0,79,54,2021-07-05,1002.6,199.9,7
79,臺南,2021-08,28.4,34.1,2021-08-28,23.9,2021-08-26,713.0,15,10.2,2021-08-07,190.0,22.5,2021-08-07,220.0,82,52,2021-08-26,1004.9,172.5,8
80,臺南,2021-09,29.5,33.9,2021-09-18,24.0,2021-09-05,115.0,8,9.4,2021-09-12,300.0,17.1,2021-09-12,310.0,75,49,2021-09-27,1006.7,226.1,9
81,臺南,2021-10,27.3,33.7,2021-10-02,21.1,2021-10-29,24.0,3,7.1,2021-10-21,350.0,11.8,2021-10-21,360.0,73,44,2021-10-29,1009.3,217.4,10
82,臺南,2021-11,23.2,32.7,2021-11-06,15.7,2021-11-24,6.5,3,8.3,2021-11-30,360.0,16.3,2021-11-30,340.0,73,30,2021-11-10,1012.6,199.3,11
83,臺南,2021-12,19.3,26.7,2021-12-14,12.8,2021-12-04,11.5,2,8.5,2021-12-01,350.0,16.5,2021-12-01,360.0,75,34,2021-12-03,1016.4,203.5,12
